growth_transitions,location,year,diseases,scenario,both,disability,mortality
FALSE,Global,2023,Adult (early),100% reduction,268.19696052591325,268.19696052591325,0
FALSE,Global,2024,Adult (early),100% reduction,274.3906065569067,271.1165750623999,3.126539966234207
FALSE,Global,2025,Adult (early),100% reduction,280.5993763259611,273.95226462941935,6.350792703943252
FALSE,Global,2026,Adult (early),100% reduction,286.83060492732716,276.718225373868,9.66596671932125
FALSE,Global,2027,Adult (early),100% reduction,293.07631163973235,279.41101826808074,13.06744075897026
FALSE,Global,2028,Adult (early),100% reduction,299.27283508602903,281.9715793730106,16.550593618156434
FALSE,Global,2029,Adult (early),100% reduction,305.5046639085035,284.4889039427891,20.111514255696296
FALSE,Global,2030,Adult (early),100% reduction,311.71197881891345,286.90895955608653,23.743646587734222
FALSE,Global,2031,Adult (early),100% reduction,317.8926603877201,289.23542806186674,27.44130175406647
FALSE,Global,2032,Adult (early),100% reduction,324.05278753661156,291.4809902523737,31.197927222706795
FALSE,Global,2033,Adult (early),100% reduction,330.1274201418648,293.5874821761923,35.00676280366993
FALSE,Global,2034,Adult (early),100% reduction,336.2522710181284,295.69651650369264,38.862626315657614
FALSE,Global,2035,Adult (early),100% reduction,342.33693182338334,297.7244516632118,42.75761784052849
FALSE,Global,2036,Adult (early),100% reduction,348.3862708559904,299.68305757506846,46.68498208726311
FALSE,Global,2037,Adult (early),100% reduction,354.4068796738968,301.5859699128094,50.637809974348066
FALSE,Global,2038,Adult (early),100% reduction,360.347697588707,303.38950066894625,54.608958659417155
FALSE,Global,2039,Adult (early),100% reduction,366.2823106815109,305.1730835322323,58.59309594739151
FALSE,Global,2040,Adult (early),100% reduction,372.16001119616413,306.8909186306324,62.58474623838615
FALSE,Global,2041,Adult (early),100% reduction,377.9849200497532,308.55168200139997,66.57954130933952
FALSE,Global,2042,Adult (early),100% reduction,383.7582523666439,310.16235865800286,70.57190440086937
FALSE,Global,2043,Adult (early),100% reduction,389.4492345232048,311.69683077667236,74.55753009551717
FALSE,Global,2044,Adult (early),100% reduction,395.08438153394127,313.1842058632956,78.5341530667305
FALSE,Global,2045,Adult (early),100% reduction,400.6387032049866,314.60247754856874,82.4988010718441
FALSE,Global,2046,Adult (early),100% reduction,406.1234354586649,315.9643100899296,86.45017468650437
FALSE,Global,2047,Adult (early),100% reduction,411.54833560965443,317.28058804912473,90.38725014662074
FALSE,Global,2048,Adult (early),100% reduction,416.889031469018,318.52953815814016,94.30778563446617
FALSE,Global,2049,Adult (early),100% reduction,422.17693639161394,319.7424736572657,98.2119581579628
FALSE,Global,2050,Adult (early),100% reduction,427.3816905479908,320.89052401865007,102.09831328389072
FALSE,Global,2051,Adult (early),100% reduction,432.51108381520174,321.98068824430754,105.96775877854634
FALSE,Global,2052,Adult (early),100% reduction,437.56929921351434,323.0166937219267,109.82085920011711
FALSE,Global,2053,Adult (early),100% reduction,442.5467313943548,323.9894555984421,113.65733653412342
FALSE,Global,2054,Adult (early),100% reduction,447.4550639012661,324.9106072185278,117.47716182805156
FALSE,Global,2055,Adult (early),100% reduction,452.27614504898645,325.76316393323805,121.2793402011423
FALSE,Global,2056,Adult (early),100% reduction,457.0213438302574,326.5565394353647,125.0658171004305
FALSE,Global,2057,Adult (early),100% reduction,461.6948209583426,327.2944324283113,128.83707015860176
FALSE,Global,2058,Adult (early),100% reduction,466.29251876279164,327.9731417445326,132.5928849038267
FALSE,Global,2059,Adult (early),100% reduction,470.8240118552847,328.60285478515146,136.33242241845036
FALSE,Global,2060,Adult (early),100% reduction,475.27363100206185,329.1704630747986,140.0532917467518
FALSE,Global,2061,Adult (early),100% reduction,479.64763894812677,329.68290935203646,143.75478496359253
FALSE,Global,2062,Adult (early),100% reduction,483.94586224169825,330.1417035148573,147.4352257678957
FALSE,Global,2063,Adult (early),100% reduction,488.1736640671091,330.5532018583174,151.09360618961142
FALSE,Global,2064,Adult (early),100% reduction,492.3275773960056,330.9170942199726,154.7266013225813
FALSE,Global,2065,Adult (early),100% reduction,496.40097935711384,331.23056146714305,158.33053077399825
FALSE,Global,2066,Adult (early),100% reduction,500.3986791487522,331.5002245497074,161.9035396354866
FALSE,Global,2067,Adult (early),100% reduction,504.3160588660345,331.72357430784893,165.44360054396438
